i;j;j-coordinate;N_k;Xzz
2;1;(3.0, 1.0, -1.5);64;0.00038692425000000006
2;1;(3.0, 1.0, -0.5);143;0.00038690074999999996
2;1;(3.0, 2.0, -1.5);64;0.00038692425000000006
2;1;(3.0, 2.0, -0.5);143;0.00038690074999999996
2;2;(-2.0, -4.0, 0.0);121;-0.0019106425
2;2;(-2.0, 2.0, 0.0);121;-0.0019106425
2;2;(2.0, -2.0, 0.0);121;-0.001909495
2;2;(2.0, 4.0, 0.0);121;-0.001909495
2;2;(-4.0, -2.0, 0.0);119;-0.001909495
2;2;(4.0, 2.0, 0.0);119;-0.0019106425
2;1;(0.0, -3.0, -1.5);58;-6.770385e-05
2;1;(0.0, -3.0, -0.5);134;-6.7701925e-05
2;1;(0.0, 3.0, -1.5);58;-6.770385e-05
2;1;(0.0, 3.0, -0.5);134;-6.7701925e-05
2;1;(-3.0, -3.0, -1.5);58;-6.770385e-05
2;1;(-3.0, -3.0, -0.5);134;-6.7701925e-05
2;1;(-3.0, 0.0, -1.5);58;-6.770385e-05
2;1;(-3.0, 0.0, -0.5);134;-6.7701925e-05
2;1;(3.0, 0.0, -1.5);58;-6.770385e-05
2;1;(3.0, 0.0, -0.5);134;-6.7701925e-05
2;1;(3.0, 3.0, -1.5);58;-6.770385e-05
2;1;(3.0, 3.0, -0.5);134;-6.7701925e-05
2;2;(-1.0, -4.0, 0.0);117;0.0013723874999999998
2;2;(-1.0, 3.0, 0.0);117;0.0013723874999999998
2;2;(1.0, -3.0, 0.0);117;0.00137106
2;2;(1.0, 4.0, 0.0);117;0.00137106
2;2;(-4.0, -3.0, 0.0);115;0.00137106
2;2;(-4.0, -1.0, 0.0);115;0.00137106
2;2;(-3.0, -4.0, 0.0);117;0.0013723874999999998
2;2;(-3.0, 1.0, 0.0);117;0.0013723874999999998
2;2;(3.0, -1.0, 0.0);117;0.00137106
2;2;(3.0, 4.0, 0.0);117;0.00137106
2;2;(4.0, 1.0, 0.0);115;0.0013723874999999998
2;2;(4.0, 3.0, 0.0);115;0.0013723874999999998
2;2;(0.0, 0.0, -1.0);158;4.169349999999999e-06
2;2;(0.0, 0.0, 1.0);73;4.169349999999999e-06
