i;j;j-coordinate;N_k;Xzz
3;4;(-2.0, 2.0, -0.5);232;8.910042823878106e-05
3;4;(-2.0, 2.0, 1.5);137;2.5352773187996054e-05
3;4;(1.0, -1.0, -0.5);281;4.734841044702351e-05
3;4;(1.0, -1.0, 1.5);170;3.754454048842336e-05
3;4;(1.0, 2.0, -0.5);262;5.2750303011045625e-05
3;4;(1.0, 2.0, 1.5);154;2.3948930851862237e-05
3;5;(-2.5, -1.5, 1.0);214;0.0004233205206274828
3;5;(-2.5, 2.5, 1.0);195;0.00021908640038859005
3;5;(-1.5, -2.5, 1.0);211;8.371907739763713e-05
3;5;(-1.5, 3.5, 1.0);186;5.809707920805812e-05
3;5;(2.5, -2.5, 1.0);184;4.120247655814296e-05
3;5;(2.5, 3.5, 1.0);160;4.5508065216417185e-05
3;5;(3.5, -1.5, 1.0);176;0.0006310499176383545
3;5;(3.5, 2.5, 1.0);158;0.00043179032620443763
3;5;(-2.5, -1.5, 0.0);273;0.00044798640043920186
3;5;(-2.5, 2.5, 0.0);249;0.0004084083622150888
3;5;(-1.5, -2.5, 0.0);268;0.0002257440319251585
3;5;(-1.5, 3.5, 0.0);234;0.00015510886427418363
3;5;(2.5, -2.5, 0.0);229;0.0002655526340109808
3;5;(2.5, 3.5, 0.0);202;0.00023943969576684763
3;5;(3.5, -1.5, 0.0);216;0.0006077368892206184
3;5;(3.5, 2.5, 0.0);199;0.0005224174883054057
3;3;(-2.0, -1.0, -1.0);157;-5.9676732082276896e-05
3;3;(-2.0, -1.0, 1.0);244;6.957416718419731e-05
3;3;(-2.0, 1.0, -1.0);164;-4.318899536356721e-05
3;3;(-2.0, 1.0, 1.0);250;7.040562048731057e-05
3;3;(-1.0, -2.0, -1.0);154;1.8211507894137438e-05
3;3;(-1.0, -2.0, 1.0);241;-1.6785836376126552e-05
3;3;(1.0, -2.0, -1.0);154;1.6517332992964435e-05
3;3;(1.0, -2.0, 1.0);243;-2.0283037357052963e-05
3;3;(2.0, -1.0, -1.0);157;-5.358878588687112e-05
3;3;(2.0, -1.0, 1.0);248;0.00010415263747343987
3;3;(2.0, 1.0, -1.0);162;-5.701280459997143e-05
3;3;(2.0, 1.0, 1.0);254;8.514595494974477e-05
3;3;(-1.0, 2.0, -1.0);167;1.3035820619580655e-05
3;3;(-1.0, 2.0, 1.0);257;-1.4635805034683936e-05
3;3;(1.0, 2.0, -1.0);165;1.8406066566886094e-05
3;3;(1.0, 2.0, 1.0);259;-1.5211218810327886e-05
3;3;(-4.0, 0.0, 0.0);214;0.0030920171118976815
3;3;(0.0, -4.0, 0.0);200;0.0026892857240308375
3;3;(0.0, 4.0, 0.0);227;0.001450832862773766
3;3;(4.0, 0.0, 0.0);213;0.005508198377973742
3;3;(-4.0, -1.0, 0.0);200;0.0001263812641245723
3;3;(-4.0, 1.0, 0.0);207;0.00014017762385441985
3;3;(-1.0, -4.0, 0.0);189;-0.011478028728911703
3;3;(-1.0, 4.0, 0.0);214;-0.0027308183956917267
3;3;(1.0, -4.0, 0.0);189;-0.006844194245276736
